id,timestamp,from_account,to_account,amount,currency,type,purpose,source_country,destination_country
TX001,2026-01-15T10:00:00Z,ACC001,ACC002,50000,USD,wire,Investment payment,USA,Cyprus
TX002,2026-01-15T14:00:00Z,ACC002,ACC003,50000,USD,wire,Loan disbursement,Cyprus,BVI
TX003,2026-01-16T10:00:00Z,ACC003,ACC001,51000,USD,wire,Loan repayment with interest,BVI,USA
TX004,2026-01-17T10:00:00Z,ACC004,ACC005,8000,USD,cash,Business revenue,USA,USA
TX005,2026-01-17T11:00:00Z,ACC005,ACC004,8200,USD,cash,Business revenue,USA,USA
TX006,2026-01-17T12:00:00Z,ACC006,ACC004,7500,USD,cash,Business revenue,USA,USA
TX007,2026-01-17T13:00:00Z,ACC007,ACC004,9000,USD,cash,Business revenue,USA,USA
TX008,2026-01-17T14:00:00Z,ACC005,ACC004,8800,USD,cash,Business revenue,USA,USA
TX009,2026-01-17T15:00:00Z,ACC006,ACC004,8500,USD,cash,Business revenue,USA,USA
TX010,2026-01-17T16:00:00Z,ACC007,ACC004,9200,USD,cash,Business revenue,USA,USA
TX011,2026-01-18T10:00:00Z,ACC004,ACC017,180000,USD,wire,Supplier payment - Electronics,USA,China
TX012,2026-01-20T10:00:00Z,ACC003,ACC008,100000,USD,wire,Consulting services,USA,UK
TX013,2026-01-23T10:00:00Z,ACC008,ACC009,95000,USD,wire,Investment funding,UK,Singapore
TX014,2026-01-26T10:00:00Z,ACC009,ACC010,90000,USD,wire,Loan disbursement,Singapore,Cayman Islands
TX015,2026-01-30T10:00:00Z,ACC011,ACC012,500,USD,ach,Payment,USA,USA
TX016,2026-01-31T10:00:00Z,ACC012,ACC013,450,USD,ach,Payment,USA,USA
TX017,2026-02-01T10:00:00Z,ACC013,ACC011,550,USD,ach,Payment,USA,USA
TX018,2026-02-02T10:00:00Z,ACC011,ACC012,600,USD,ach,Payment,USA,USA
TX019,2026-02-03T10:00:00Z,ACC012,ACC013,480,USD,ach,Payment,USA,USA
TX020,2026-02-04T10:00:00Z,ACC013,ACC011,520,USD,ach,Payment,USA,USA
TX021,2026-02-10T10:00:00Z,ACC014,ACC015,15000,USD,ach,Invoice payment,USA,USA
TX022,2026-02-10T12:00:00Z,ACC015,ACC016,15000,USD,ach,Invoice payment,USA,USA
TX023,2026-02-10T14:00:00Z,ACC016,ACC014,15000,USD,ach,Invoice payment,USA,USA
TX024,2026-02-11T10:00:00Z,ACC014,ACC015,18000,USD,ach,Invoice payment,USA,USA
TX025,2026-02-11T12:00:00Z,ACC015,ACC016,18000,USD,ach,Invoice payment,USA,USA
TX026,2026-02-11T14:00:00Z,ACC016,ACC014,18000,USD,ach,Invoice payment,USA,USA
TX027,2026-02-12T10:00:00Z,ACC014,ACC015,16000,USD,ach,Invoice payment,USA,USA
TX028,2026-02-12T12:00:00Z,ACC015,ACC016,16000,USD,ach,Invoice payment,USA,USA
TX029,2026-02-12T14:00:00Z,ACC016,ACC014,16000,USD,ach,Invoice payment,USA,USA
TX030,2026-02-15T10:00:00Z,ACC020,ACC017,9500,USD,cash,Deposit,USA,USA
TX031,2026-02-15T11:00:00Z,ACC021,ACC017,9400,USD,cash,Deposit,USA,USA
TX032,2026-02-15T12:00:00Z,ACC022,ACC017,9600,USD,cash,Deposit,USA,USA
TX033,2026-02-15T13:00:00Z,ACC023,ACC017,9800,USD,cash,Deposit,USA,USA
TX034,2026-02-15T14:00:00Z,ACC024,ACC017,9500,USD,cash,Deposit,USA,USA
TX035,2026-02-15T15:00:00Z,ACC025,ACC017,9200,USD,cash,Deposit,USA,USA
TX036,2026-02-15T16:00:00Z,ACC026,ACC017,9700,USD,cash,Deposit,USA,USA
TX037,2026-02-15T17:00:00Z,ACC027,ACC017,9300,USD,cash,Deposit,USA,USA
TX038,2026-02-16T10:00:00Z,ACC017,ACC018,1500,USD,ach,Payment for services,USA,USA
TX039,2026-02-17T10:00:00Z,ACC017,ACC018,2000,USD,ach,Payment for services,USA,USA
TX040,2026-02-18T10:00:00Z,ACC017,ACC018,1800,USD,ach,Payment for services,USA,USA
TX041,2026-02-19T10:00:00Z,ACC017,ACC018,2200,USD,ach,Payment for services,USA,USA
TX042,2026-02-20T10:00:00Z,ACC017,ACC018,1600,USD,ach,Payment for services,USA,USA
